,trip_distance_id,trip_distance
1098,1098,0.92
1099,1099,0.85
1100,1100,1.2
1101,1101,0.95
1102,1102,2.41
1103,1103,4.2
1104,1104,2.57
1105,1105,3.28
1106,1106,1.28
1107,1107,4.51
1108,1108,1.62
1109,1109,3.98
1110,1110,3.23
1111,1111,0.9
1112,1112,2.19
1113,1113,1.03
1114,1114,0.68
1115,1115,0.71
1116,1116,18.79
1117,1117,1.92
1118,1118,0.0
1119,1119,0.0
1120,1120,1.77
1121,1121,4.44
1122,1122,1.37
1123,1123,0.69
1124,1124,1.96
1125,1125,1.64
1126,1126,6.17
1127,1127,1.41
1128,1128,0.79
1129,1129,10.65
1130,1130,5.51
1131,1131,2.01
1132,1132,0.72
1133,1133,1.91
1134,1134,2.12
1135,1135,0.76
1136,1136,0.64
1137,1137,1.97
1138,1138,0.64
1139,1139,1.7
1140,1140,2.52
1141,1141,0.9
1142,1142,0.92
1143,1143,1.29
1144,1144,17.6
1145,1145,1.99
1146,1146,0.82
1147,1147,2.83
1148,1148,4.44
1149,1149,0.84
1150,1150,5.61
1151,1151,1.29
1152,1152,10.0
1153,1153,1.55
1154,1154,2.2
1155,1155,0.93
1156,1156,2.71
1157,1157,2.97
1158,1158,1.93
1159,1159,0.37
1160,1160,4.02
1161,1161,1.52
1162,1162,20.89
1163,1163,2.81
1164,1164,8.78
1165,1165,1.0
1166,1166,2.35
1167,1167,1.84
1168,1168,0.98
1169,1169,2.35
1170,1170,1.54
1171,1171,1.6
1172,1172,16.68
1173,1173,1.82
1174,1174,0.6
1175,1175,3.12
1176,1176,2.42
1177,1177,1.5
1178,1178,2.92
1179,1179,4.75
1180,1180,0.57
1181,1181,0.31
1182,1182,4.1
1183,1183,1.0
1184,1184,1.34
1185,1185,1.85
1186,1186,1.82
1187,1187,5.17
1188,1188,1.02
1189,1189,0.66
1190,1190,1.47
1191,1191,3.2
1192,1192,0.89
1193,1193,0.51
1194,1194,1.85
1195,1195,0.75
1196,1196,0.61
1197,1197,2.87
1198,1198,2.19
1199,1199,1.03
1200,1200,0.9
1201,1201,1.86
1202,1202,4.81
1203,1203,2.03
1204,1204,19.71
1205,1205,2.47
1206,1206,1.53
1207,1207,1.02
1208,1208,2.65
1209,1209,1.81
1210,1210,0.87
1211,1211,1.33
1212,1212,0.92
1213,1213,2.41
1214,1214,2.74
1215,1215,1.21
1216,1216,1.62
1217,1217,2.66
1218,1218,0.69
1219,1219,4.26
1220,1220,1.09
1221,1221,2.24
1222,1222,1.11
1223,1223,1.7
1224,1224,2.8
1225,1225,0.6
1226,1226,10.61
1227,1227,18.64
1228,1228,1.21
1229,1229,1.17
1230,1230,1.8
1231,1231,3.6
1232,1232,1.59
1233,1233,1.24
1234,1234,0.71
1235,1235,1.54
1236,1236,4.8
1237,1237,0.72
1238,1238,1.49
1239,1239,22.75
1240,1240,4.0
1241,1241,0.93
1242,1242,4.03
1243,1243,0.99
1244,1244,1.21
1245,1245,1.8
1246,1246,8.17
1247,1247,3.11
1248,1248,2.76
1249,1249,2.84
1250,1250,6.35
1251,1251,2.6
1252,1252,13.3
1253,1253,0.87
1254,1254,1.23
1255,1255,0.63
1256,1256,1.92
1257,1257,1.59
1258,1258,2.34
1259,1259,2.37
1260,1260,1.77
1261,1261,0.9
1262,1262,0.76
1263,1263,3.02
1264,1264,4.17
1265,1265,0.82
1266,1266,1.4
1267,1267,1.38
1268,1268,2.1
1269,1269,1.67
1270,1270,1.0
1271,1271,11.06
1272,1272,1.16
1273,1273,1.52
1274,1274,2.93
1275,1275,2.43
1276,1276,1.69
1277,1277,1.43
1278,1278,1.63
1279,1279,1.88
1280,1280,1.19
1281,1281,2.25
1282,1282,1.77
1283,1283,3.09
1284,1284,2.15
1285,1285,0.66
1286,1286,16.53
1287,1287,0.93
1288,1288,4.64
1289,1289,3.21
1290,1290,1.71
1291,1291,0.66
1292,1292,3.6
1293,1293,1.04
1294,1294,1.58
1295,1295,2.36
1296,1296,2.47
1297,1297,3.93
1298,1298,12.6
1299,1299,2.3
1300,1300,1.33
1301,1301,2.06
1302,1302,0.24
1303,1303,1.91
1304,1304,1.5
1305,1305,0.81
1306,1306,1.59
1307,1307,3.98
1308,1308,10.55
1309,1309,0.0
1310,1310,2.07
1311,1311,12.07
1312,1312,1.16
1313,1313,2.04
1314,1314,4.81
1315,1315,3.32
1316,1316,2.8
1317,1317,0.74
1318,1318,1.52
1319,1319,3.21
1320,1320,13.45
1321,1321,1.36
1322,1322,0.71
1323,1323,1.9
1324,1324,1.25
1325,1325,0.67
1326,1326,4.94
1327,1327,0.67
1328,1328,1.69
1329,1329,11.59
1330,1330,1.3
1331,1331,1.16
1332,1332,2.12
1333,1333,1.73
1334,1334,0.7
1335,1335,6.58
1336,1336,1.99
1337,1337,0.0
1338,1338,2.36
1339,1339,1.54
1340,1340,0.88
1341,1341,0.77
1342,1342,1.48
1343,1343,2.41
1344,1344,1.7
1345,1345,1.14
1346,1346,5.35
1347,1347,0.6
1348,1348,2.0
1349,1349,1.51
1350,1350,1.88
1351,1351,4.77
1352,1352,1.66
1353,1353,1.47
1354,1354,1.02
1355,1355,0.7
1356,1356,2.92
1357,1357,1.98
1358,1358,6.43
1359,1359,0.96
1360,1360,18.04
1361,1361,4.44
1362,1362,5.72
1363,1363,0.58
1364,1364,1.09
1365,1365,3.99
1366,1366,1.93
1367,1367,1.73
1368,1368,8.2
1369,1369,2.72
1370,1370,1.91
1371,1371,1.34
1372,1372,0.44
1373,1373,1.07
1374,1374,4.17
1375,1375,1.11
1376,1376,2.25
1377,1377,11.12
1378,1378,12.93
1379,1379,2.25
1380,1380,11.19
1381,1381,3.2
1382,1382,2.58
1383,1383,8.19
1384,1384,2.03
1385,1385,0.65
1386,1386,3.16
1387,1387,1.49
1388,1388,1.24
1389,1389,19.17
1390,1390,1.38
1391,1391,5.99
1392,1392,1.02
1393,1393,3.03
1394,1394,0.42
1395,1395,1.74
1396,1396,3.71
1397,1397,2.65
1398,1398,2.49
1399,1399,1.71
1400,1400,1.67
1401,1401,0.46
1402,1402,0.9
1403,1403,2.8
1404,1404,5.2
1405,1405,2.05
1406,1406,2.48
1407,1407,2.89
1408,1408,1.65
1409,1409,1.42
1410,1410,1.38
1411,1411,0.76
1412,1412,2.24
1413,1413,2.76
1414,1414,2.48
1415,1415,13.09
1416,1416,2.1
1417,1417,0.97
1418,1418,2.16
1419,1419,1.7
1420,1420,1.14
1421,1421,0.55
1422,1422,1.49
1423,1423,3.77
1424,1424,1.0
1425,1425,5.79
1426,1426,2.55
1427,1427,3.55
1428,1428,2.37
1429,1429,17.82
1430,1430,1.12
1431,1431,6.04
1432,1432,8.71
1433,1433,1.38
1434,1434,3.4
1435,1435,1.71
1436,1436,0.6
1437,1437,9.47
1438,1438,1.0
1439,1439,12.33
1440,1440,10.52
1441,1441,1.14
1442,1442,1.78
1443,1443,1.78
1444,1444,1.69
1445,1445,7.75
1446,1446,5.29
1447,1447,6.31
1448,1448,6.89
1449,1449,2.77
1450,1450,1.29
1451,1451,2.6
1452,1452,2.98
1453,1453,1.21
1454,1454,1.39
1455,1455,10.03
1456,1456,2.84
1457,1457,0.0
1458,1458,2.19
1459,1459,1.15
1460,1460,0.99
1461,1461,1.16
1462,1462,1.38
1463,1463,2.13
1464,1464,0.5
1465,1465,1.93
1466,1466,0.87
1467,1467,2.24
1468,1468,1.09
1469,1469,1.88
1470,1470,1.48
1471,1471,2.35
1472,1472,0.98
1473,1473,2.51
1474,1474,1.18
1475,1475,1.7
1476,1476,2.09
1477,1477,1.37
1478,1478,1.48
1479,1479,1.98
1480,1480,0.59
1481,1481,3.58
1482,1482,0.52
1483,1483,1.84
1484,1484,1.49
1485,1485,0.67
1486,1486,16.75
1487,1487,5.89
1488,1488,1.68
1489,1489,0.65
1490,1490,22.56
1491,1491,0.6
1492,1492,1.63
1493,1493,0.76
1494,1494,1.84
1495,1495,0.46
1496,1496,2.5
1497,1497,5.24
1498,1498,1.0
1499,1499,1.53
1500,1500,12.24
1501,1501,16.64
1502,1502,2.72
1503,1503,2.51
1504,1504,0.99
1505,1505,1.7
1506,1506,0.18
1507,1507,1.44
1508,1508,2.33
1509,1509,1.05
1510,1510,1.85
1511,1511,0.36
1512,1512,1.35
1513,1513,0.8
1514,1514,3.47
1515,1515,1.63
1516,1516,1.22
1517,1517,0.5
1518,1518,1.7
1519,1519,1.78
1520,1520,0.54
1521,1521,13.38
1522,1522,2.84
1523,1523,1.46
1524,1524,1.32
1525,1525,4.72
1526,1526,0.94
1527,1527,0.87
1528,1528,0.52
1529,1529,1.73
1530,1530,1.74
1531,1531,1.51
1532,1532,0.93
1533,1533,0.59
1534,1534,16.81
1535,1535,2.43
1536,1536,1.9
1537,1537,0.75
1538,1538,0.71
1539,1539,0.46
1540,1540,1.35
1541,1541,0.94
1542,1542,1.11
1543,1543,1.19
1544,1544,1.81
1545,1545,14.87
1546,1546,1.42
1547,1547,4.27
1548,1548,3.23
1549,1549,1.56
1550,1550,1.35
1551,1551,12.3
1552,1552,11.46
1553,1553,0.6
1554,1554,0.88
1555,1555,0.77
1556,1556,2.24
1557,1557,4.21
1558,1558,8.77
1559,1559,0.68
1560,1560,0.61
1561,1561,3.61
1562,1562,5.08
1563,1563,0.59
1564,1564,2.24
1565,1565,1.59
1566,1566,2.56
1567,1567,6.23
1568,1568,11.75
1569,1569,1.92
1570,1570,1.89
1571,1571,1.09
1572,1572,1.72
1573,1573,4.74
1574,1574,2.59
1575,1575,3.16
1576,1576,2.09
1577,1577,2.09
1578,1578,3.24
1579,1579,3.36
1580,1580,2.2
1581,1581,0.83
1582,1582,0.53
1583,1583,0.7
1584,1584,2.74
1585,1585,0.93
1586,1586,2.44
1587,1587,5.29
1588,1588,3.17
1589,1589,0.52
1590,1590,4.09
1591,1591,1.59
